"","from","to"
"133","62129","62119"
"134","62119","61049"
"135","61049","61039"
"136","61039","70069"
"137","70069","70059"
"138","70059","70049"
"139","70049","70039"
"140","70039","70029"
"141","70029","70019"
"142","70019","81099"
"143","81099","81089"
"144","81089","80089"
"145","80089","80069"
"146","80069","80049"
"147","80049","80039"
"148","80039","80029"
"149","14061","14071"
"150","14071","14081"
"151","14081","14101"
"152","14101","14141"
"153","14141","14121"
"154","14121","14131"
"155","14131","14151"
"156","14151","14161"
"157","14161","14171"
"158","14171","15041"
"159","15041","15051"
"160","15051","18011"
"161","18011","11511"
"162","11511","11021"
"163","11021","11031"
"164","11031","11041"
"165","11041","11051"
"166","11051","11161"
"167","11161","11171"
"168","11171","11181"
"169","11181","11351"
"170","11351","11009"
"171","11009","11359"
"172","11359","11189"
"173","11189","11179"
"174","11179","11169"
"175","11169","11059"
"176","11059","11049"
"177","11049","11039"
"178","11039","11029"
"179","11029","11519"
"180","11519","18019"
"181","18019","15059"
"182","15059","15049"
"183","15049","14189"
"184","14189","14179"
"185","14179","14169"
"186","14169","14159"
"187","14159","14139"
"188","14139","14129"
"189","14129","14119"
"190","14119","14109"
"191","14109","14089"
"192","14089","14069"
"193","80011","80031"
"194","80031","80051"
"195","80051","80071"
"196","80071","80091"
"197","80091","81081"
"198","81081","81091"
"199","81091","70011"
"200","70011","70021"
"201","70021","70031"
"202","70031","70041"
"203","70041","70051"
"204","70051","70061"
"205","70061","61031"
"206","61031","61041"
"207","61041","62111"
"208","62111","62121"
"209","62121","66009"
"210","66009","62129"
"211","62129","62119"
"212","62119","61049"
"213","61049","61039"
"214","61039","70069"
"215","70069","70059"
"216","70059","70049"
"217","70049","70039"
"218","70039","70029"
"219","70029","70019"
"220","70019","81099"
"221","81099","81089"
"222","66009","62131"
"223","62131","62141"
"224","62141","63011"
"225","63011","63021"
"226","63021","63031"
"227","63031","63041"
"228","63041","63051"
"229","63051","63061"
"230","63061","64011"
"231","64011","64541"
"232","64541","64551"
"233","64551","64529"
"234","64529","64339"
"235","64339","64341"
"236","64341","64351"
"237","64351","64431"
"238","64431","64441"
"239","64441","64461"
"240","64461","66499"
"241","66499","66541"
"242","66541","66551"
"243","66551","66561"
"244","66561","66571"
"245","66571","66581"
"246","66581","66549"
"247","66549","66491"
"248","66491","64619"
"249","64619","64561"
"250","64561","64359"
"251","64359","64349"
"252","64349","64331"
"253","64331","64521"
"254","64521","64559"
"255","64559","64549"
"256","64549","64019"
"257","64019","63069"
"258","63069","63059"
"259","63059","63049"
"260","63049","63039"
"261","63039","63029"
"262","63029","63019"
"263","63019","62149"
"264","62149","62189"
"265","64009","64041"
"266","64041","64051"
"267","64051","64061"
"268","64061","64401"
"269","64401","67739"
"270","67739","67729"
"271","67729","67719"
"272","67719","67609"
"273","67609","67619"
"274","67619","67341"
"275","67341","67199"
"276","67199","67189"
"277","67189","67409"
"278","67409","67399"
"279","67399","67389"
"280","67389","67549"
"281","67549","67559"
"282","67559","67569"
"283","67569","67579"
"284","67579","68031"
"285","68031","68051"
"286","68051","68111"
"287","68111","68099"
"288","68099","68209"
"289","68209","68239"
"290","68239","68201"
"291","68201","68091"
"292","68091","68119"
"293","68119","68059"
"294","68059","68049"
"295","68049","68039"
"296","68039","67571"
"297","67571","67561"
"298","67561","67551"
"299","67551","67541"
"300","67541","67381"
"301","67381","67391"
"302","67391","67401"
"303","67401","67181"
"304","67181","67191"
"305","67191","67349"
"306","67349","67611"
"307","67611","67601"
"308","67601","67711"
"309","67711","67721"
"310","67721","67731"
"311","67731","64409"
"312","64409","64069"
"313","64069","64059"
"314","64059","64049"
"315","64049","64009"
"316","66009","62131"
"317","62131","62141"
"318","62141","63141"
"319","63141","63361"
"320","63361","63181"
"321","63181","63191"
"322","63191","63201"
"323","63201","63211"
"324","63211","64101"
"325","64101","64111"
"326","64111","64121"
"327","64121","67079"
"328","67079","67069"
"329","67069","67059"
"330","67059","67049"
"331","67049","67081"
"332","67081","68011"
"333","68011","68021"
"334","68021","68031"
"335","68031","68051"
"336","68051","68111"
"337","68111","68061"
"338","68061","68091"
"339","68091","68081"
"340","68081","68101"
"341","68101","68121"
"342","68121","68161"
"343","68161","68131"
"344","68131","68141"
"345","68141","68151"
"346","68151","68171"
"347","68171","59779"
"348","59779","59789"
"349","59789","59461"
"350","59461","59459"
"351","59459","59709"
"352","59709","59349"
"353","59349","58991"
"354","58991","59009"
"355","59009","59069"
"356","59069","59341"
"357","59341","59701"
"358","59701","59651"
"359","59651","59451"
"360","59451","59469"
"361","59469","59781"
"362","59781","59771"
"363","59771","68179"
"364","68179","68159"
"365","68159","68149"
"366","68149","68139"
"367","68139","68169"
"368","68169","68129"
"369","68129","68109"
"370","68109","68089"
"371","68089","68099"
"372","68099","68069"
"373","68069","68119"
"374","68119","68059"
"375","68059","68049"
"376","68049","68039"
"377","68039","68029"
"378","68029","68019"
"379","68019","67089"
"380","67089","67041"
"381","67041","67051"
"382","67051","67061"
"383","67061","67071"
"384","67071","64129"
"385","64129","64119"
"386","64119","64109"
"387","64109","63219"
"388","63219","63209"
"389","63209","63199"
"390","63199","63189"
"391","63189","63179"
"392","63179","63369"
"393","63369","63149"
"394","63149","62149"
"395","62149","62189"
"396","66009","66419"
"397","66419","66409"
"398","66409","66399"
"399","66399","66029"
"400","66029","66019"
"401","66019","52069"
"402","52069","52059"
"403","52059","52361"
"404","52361","52279"
"405","52279","52239"
"406","52239","52189"
"407","52189","52079"
"408","52079","51099"
"409","51099","40249"
"410","40249","40239"
"411","40239","40229"
"412","40229","40219"
"413","40219","40209"
"414","40209","40199"
"415","13011","13021"
"416","13021","11201"
"417","11201","11211"
"418","11211","11221"
"419","11221","11089"
"420","11089","11079"
"421","11079","11069"
"422","11069","11161"
"423","11161","11171"
"424","11171","11181"
"425","11181","11191"
"426","11191","19011"
"427","19011","19021"
"428","19021","19031"
"429","19031","19041"
"430","19041","17151"
"431","17151","17161"
"432","17161","17171"
"433","17171","17181"
"434","17181","20101"
"435","20101","28011"
"436","28011","28021"
"437","28021","28031"
"438","28031","28041"
"439","28041","28659"
"440","28659","28649"
"441","28649","28639"
"442","28639","28319"
"443","28319","28449"
"444","28449","28009"
"445","28441","28311"
"446","28311","28631"
"447","28631","28641"
"448","28641","28651"
"449","28651","28049"
"450","28049","28039"
"451","28039","28029"
"452","28029","28019"
"453","28019","20109"
"454","20109","17189"
"455","17189","17179"
"456","17179","17169"
"457","17169","17159"
"458","17159","19049"
"459","19049","19039"
"460","19039","19029"
"461","19029","19019"
"462","19019","11199"
"463","11199","11189"
"464","11189","11179"
"465","11179","11169"
"466","11169","11061"
"467","11061","11071"
"468","11071","11081"
"469","11081","11229"
"470","11229","11219"
"471","11219","11209"
"472","11209","13029"
"473","13029","13019"
"474","40191","40201"
"475","40201","40211"
"476","40211","40221"
"477","40221","40231"
"478","40231","51091"
"479","51091","51101"
"480","51101","52071"
"481","52071","52181"
"482","52181","52231"
"483","52231","52271"
"484","52271","52369"
"485","52369","52051"
"486","52051","52061"
"487","52061","66011"
"488","66011","66021"
"489","66021","66391"
"490","66391","66401"
"491","66401","66411"
"492","66411","66389"
"493","66389","66009"
"494","28441","28311"
"495","28311","28631"
"496","28631","28641"
"497","28641","28651"
"498","28651","28049"
"499","28049","28039"
"500","28039","28029"
"501","28029","28019"
"502","28019","20109"
"503","20109","17189"
"504","17189","17179"
"505","43009","43179"
"506","43179","43189"
"507","43189","43619"
"508","43619","43629"
"509","43629","42319"
"510","42319","28109"
"511","28109","28189"
"512","28189","28019"
"513","28019","20109"
"514","20109","17189"
"515","17189","17179"
"516","17179","17169"
"517","17169","17159"
"518","17159","19049"
"519","19049","19039"
"520","19039","19029"
"521","19029","19019"
"522","19019","11199"
"523","11199","11189"
"524","11189","11401"
"525","11401","11239"
"526","11239","11229"
"527","11229","11219"
"528","11219","11209"
"529","11209","13029"
"530","13029","13019"
"531","13011","13021"
"532","13021","11201"
"533","11201","11211"
"534","11211","11221"
"535","11221","11231"
"536","11231","11419"
"537","11419","11409"
"538","11409","11181"
"539","11181","11191"
"540","11191","19011"
"541","19011","19021"
"542","19021","19031"
"543","19031","19041"
"544","19041","17151"
"545","17151","17161"
"546","17161","17171"
"547","17171","17181"
"548","17181","20101"
"549","20101","28011"
"550","28011","28181"
"551","28181","28101"
"552","28101","42311"
"553","42311","43621"
"554","43621","43611"
"555","43611","43181"
"556","43181","43171"
"557","43171","43009"
"558","43009","43179"
"559","43179","43189"
"560","43189","43619"
"561","43619","43629"
"562","43629","42319"
"563","42319","28109"
"564","28109","28189"
"565","28189","28019"
"566","28019","20109"
"567","20109","17189"
"568","17189","17179"
"569","64009","64391"
"570","64391","63351"
"571","63351","63341"
"572","63341","63059"
"573","63059","63049"
"574","63049","63039"
"575","63039","63029"
"576","63029","63019"
"577","63019","62149"
"578","62149","62139"
"579","62139","62129"
"580","62129","62119"
"581","62119","61049"
"582","61049","61039"
"583","61039","61029"
"584","61029","61019"
"585","61019","60269"
"586","60269","60209"
"587","60209","60179"
"588","60179","60221"
"589","60221","60039"
"590","60039","60029"
"591","60029","60019"
"592","60011","60021"
"593","60021","60031"
"594","60031","60229"
"595","60229","60159"
"596","60161","60201"
"597","60201","60261"
"598","60261","61011"
"599","61011","61021"
"600","61021","61031"
"601","61031","61041"
"602","61041","62111"
"603","62111","62121"
"604","62121","62131"
"605","62131","62141"
"606","62141","63011"
"607","63011","63021"
"608","63021","63031"
"609","63031","63041"
"610","63041","63051"
"611","63051","63349"
"612","63349","63359"
"613","63359","64399"
"614","64399","64009"
"615","64009","64391"
"616","64391","63351"
"617","63351","63341"
"618","63341","63059"
"619","63059","63049"
"620","63049","63039"
"621","63039","63029"
"622","63029","63019"
"623","63019","62149"
"624","62149","62139"
"625","62139","62129"
"626","62129","62119"
"627","62119","61049"
"628","61049","61039"
"629","61039","61029"
"630","61029","61019"
"631","61019","60269"
"632","60269","60209"
"633","60209","60179"
"634","60179","60221"
"635","60221","60039"
"636","60039","60029"
"637","60029","60019"
"638","60011","60021"
"639","60021","60031"
"640","60031","60229"
"641","60229","60159"
"642","60161","60201"
"643","60201","60261"
"644","60261","61011"
"645","61011","61021"
"646","61021","61031"
"647","61031","61041"
"648","61041","62111"
"649","62111","62121"
"650","62121","62131"
"651","62131","62141"
"652","62141","63011"
"653","63011","63021"
"654","63021","63031"
"655","63031","63041"
"656","63041","63051"
"657","63051","63349"
"658","63349","63359"
"659","63359","64399"
"660","64399","64009"
"661","66009","66361"
"662","66361","66041"
"663","66041","66051"
"664","66051","63361"
"665","63361","63181"
"666","63181","63191"
"667","63191","63201"
"668","63201","63211"
"669","63211","64101"
"670","64101","64491"
"671","64491","64481"
"672","64481","64471"
"673","64471","64601"
"674","64601","64611"
"675","64611","64469"
"676","64469","64629"
"677","64629","67459"
"678","67459","67469"
"679","67469","67279"
"680","67279","67449"
"681","67449","67419"
"682","67419","67599"
"683","67599","65199"
"684","65199","77339"
"685","77339","77289"
"686","77289","77239"
"687","77239","77249"
"688","77249","78049"
"689","78049","77019"
"690","77019","77029"
"691","77029","77039"
"692","77039","77049"
"693","77049","77059"
"694","77059","78069"
"695","78069","78059"
"696","78059","98111"
"697","98111","98109"
"698","98109","98031"
"699","98031","98041"
"700","98041","98231"
"701","98231","98051"
"702","98051","98061"
"703","98061","98071"
"704","98071","99011"
"705","99011","99021"
"706","99021","99031"
"707","99031","99041"
"708","99041","99139"
"709","99139","99009"
"710","99009","99131"
"711","99131","99049"
"712","99049","99039"
"713","99039","99029"
"714","99029","99019"
"715","99019","98079"
"716","98079","98069"
"717","98069","98059"
"718","98059","98239"
"719","98239","98049"
"720","98049","98039"
"721","98039","98101"
"722","98101","98119"
"723","98119","78051"
"724","78051","78061"
"725","78061","77051"
"726","77051","77041"
"727","77041","77031"
"728","77031","77021"
"729","77021","77011"
"730","77011","77241"
"731","77241","77231"
"732","77231","77281"
"733","77281","77331"
"734","77331","65191"
"735","65191","67591"
"736","67591","67411"
"737","67411","67441"
"738","67441","67271"
"739","67271","67461"
"740","67461","67451"
"741","67451","64621"
"742","64621","64461"
"743","64461","64619"
"744","64619","64609"
"745","64609","64479"
"746","64479","64489"
"747","64489","64499"
"748","64499","64109"
"749","64109","63219"
"750","63219","63209"
"751","63209","63199"
"752","63199","63189"
"753","63189","63179"
"754","63179","63369"
"755","63369","66059"
"756","66059","66049"
"757","66049","66369"
"758","66369","66389"
"759","66389","66009"
"760","66009","66361"
"761","66361","66041"
"762","66041","66051"
"763","66051","63361"
"764","63361","63181"
"765","63181","63191"
"766","63191","63201"
"767","63201","63211"
"768","63211","64101"
"769","64101","64491"
"770","64491","64481"
"771","64481","64471"
"772","64471","64601"
"773","64601","64611"
"774","85049","85039"
"775","85039","85029"
"776","85029","85019"
"777","85019","94079"
"778","94079","94069"
"779","94069","94059"
"780","94059","94049"
"781","94049","94089"
"782","94089","94039"
"783","94039","94029"
"784","94029","94019"
"785","94019","93099"
"786","93099","93089"
"787","93089","93079"
"788","93079","93069"
"789","93069","93059"
"790","93059","92159"
"791","92159","92149"
"792","92149","92139"
"793","92139","92129"
"794","92129","92119"
"795","92119","92109"
"796","92109","92099"
"797","92099","80159"
"798","80151","92091"
"799","92091","92101"
"800","92101","92111"
"801","92111","92121"
"802","92121","92131"
"803","92131","92141"
"804","92141","92151"
"805","92151","93051"
"806","93051","93061"
"807","93061","93071"
"808","93071","93081"
"809","93081","93091"
"810","93091","94011"
"811","94011","94021"
"812","94021","94031"
"813","94031","94041"
"814","94041","94051"
"815","94051","94061"
"816","94061","94071"
"817","94071","85021"
"818","85021","85031"
"819","85031","85041"
"820","80009","80051"
"821","80051","80119"
"822","80119","80149"
"823","80149","80189"
"824","80189","80179"
"825","80179","80199"
"826","80199","80191"
"827","80191","90039"
"828","90039","90029"
"829","90029","90019"
"830","90019","90079"
"831","90079","90011"
"832","90011","90021"
"833","90021","90031"
"834","90031","80199"
"835","80199","80191"
"836","80191","80171"
"837","80171","80181"
"838","80181","80141"
"839","80141","80111"
"840","80111","80049"
"841","80049","80009"
"842","67759","67191"
"843","67191","67349"
"844","67349","67359"
"845","67359","67369"
"846","67369","67379"
"847","67379","67761"
"848","67761","67319"
"849","67319","67429"
"850","67429","67599"
"851","67599","65199"
"852","65199","95151"
"853","95151","95011"
"854","95011","95109"
"855","95109","95029"
"856","95029","95129"
"857","95129","95019"
"858","95019","95209"
"859","95209","95159"
"860","95159","65191"
"861","65191","67591"
"862","67591","67421"
"863","67421","67311"
"864","67311","67769"
"865","67769","67371"
"866","67371","67361"
"867","67361","67351"
"868","67351","67341"
"869","67341","67199"
"870","67199","67759"
"871","11009","11359"
"872","11359","11189"
"873","11189","11179"
"874","11179","11169"
"875","11169","11159"
"876","11159","11149"
"877","11149","11139"
"878","11139","10299"
"879","10299","10289"
"880","10289","10321"
"881","10321","13031"
"882","13031","13041"
"883","13041","13201"
"884","13209","13049"
"885","13049","13039"
"886","13039","10329"
"887","10329","10281"
"888","10281","10291"
"889","10291","11131"
"890","11131","11141"
"891","11141","11151"
"892","11151","11161"
"893","11161","11171"
"894","11171","11181"
"895","11181","11351"
"896","11351","11009"
"897","64009","64041"
"898","64041","64051"
"899","64051","64329"
"900","64329","64319"
"901","64319","64309"
"902","64309","64239"
"903","64239","64209"
"904","64209","63139"
"905","63139","63239"
"906","63239","63229"
"907","63229","63031"
"908","63031","63041"
"909","63041","63051"
"910","63051","63349"
"911","63349","63339"
"912","63339","63329"
"913","63329","63391"
"914","63391","63381"
"915","63381","63371"
"916","63371","64411"
"917","64411","64479"
"918","64479","64489"
"919","64489","64509"
"920","64509","64519"
"921","64519","64471"
"922","64471","64419"
"923","64419","63379"
"924","63379","63389"
"925","63389","63399"
"926","63399","63321"
"927","63321","63331"
"928","63331","63341"
"929","63341","63059"
"930","63059","63049"
"931","63049","63039"
"932","63039","63221"
"933","63221","63231"
"934","63231","63131"
"935","63131","64201"
"936","64201","64231"
"937","64231","64301"
"938","64301","64311"
"939","64311","64321"
"940","64321","64059"
"941","64059","64049"
"942","64049","64009"
"943","64009","64041"
"944","64041","64051"
"945","64051","64329"
"946","64329","64319"
"947","64319","64309"
"948","64309","64239"
"949","64239","64209"
"950","64209","63139"
"951","63139","63239"
"952","63239","63229"
"953","63229","63031"
"954","64009","64041"
"955","64041","64051"
"956","64051","64071"
"957","64071","64039"
"958","64039","64371"
"959","64371","64381"
"960","64381","64391"
"961","64391","63351"
"962","63351","63341"
"963","63341","63059"
"964","63059","63049"
"965","63049","63039"
"966","63039","63221"
"967","63221","63231"
"968","63231","63261"
"969","63261","63271"
"970","63271","63281"
"971","63281","63291"
"972","63291","63301"
"973","63301","62221"
"974","62221","62219"
"975","62219","62059"
"976","62059","62229"
"977","62229","63309"
"978","63309","63299"
"979","63299","63289"
"980","63289","63279"
"981","63279","63269"
"982","63269","63239"
"983","63239","63229"
"984","63229","63031"
"985","63031","63041"
"986","63041","63051"
"987","63051","63349"
"988","63349","63359"
"989","63359","64399"
"990","64399","64389"
"991","64389","64379"
"992","64379","64031"
"993","64031","64079"
"994","64079","64059"
"995","64059","64049"
"996","64049","64009"
"997","63039","63221"
"998","63221","63231"
"999","63231","63261"
"1000","63261","63271"
"1001","63271","63281"
"1002","63281","63291"
"1003","63291","63301"
"1004","63301","62221"
"1005","62221","62219"
"1006","62219","62059"
"1007","62059","62229"
"1008","62229","63309"
"1009","63309","63299"
"1010","63299","63289"
"1011","63289","63279"
"1012","63279","63269"
"1013","63269","63239"
"1014","63239","63229"
"1015","63229","63031"
"1016","63221","63231"
"1017","63231","63261"
"1018","63261","63271"
"1019","63271","63281"
"1020","63281","63099"
"1021","63099","63089"
"1022","63089","63079"
"1023","63079","63241"
"1024","63241","63059"
"1025","63059","63049"
"1026","63049","63039"
"1027","63039","63221"
"1028","64009","64551"
"1029","64551","64529"
"1030","64529","64339"
"1031","64339","64411"
"1032","64411","64479"
"1033","64479","64489"
"1034","64489","64499"
"1035","64499","66439"
"1036","66439","66429"
"1037","66429","66101"
"1038","66101","63219"
"1039","63219","63209"
"1040","63209","63199"
"1041","63199","63189"
"1042","63189","63179"
"1043","63179","63369"
"1044","63369","66379"
"1045","66379","66359"
"1046","66359","62141"
"1047","62141","63141"
"1048","63141","63361"
"1049","63361","63181"
"1050","63181","63191"
"1051","63191","63201"
"1052","63201","63211"
"1053","63211","66109"
"1054","66109","66421"
"1055","66421","66431"
"1056","66431","64491"
"1057","64491","64481"
"1058","64481","64471"
"1059","64471","64419"
"1060","64419","64331"
"1061","64331","64521"
"1062","64521","64559"
"1063","64559","64009"
"1064","66439","66429"
"1065","66429","66101"
"1066","66101","63219"
"1067","63219","63209"
"1068","63209","63199"
"1069","63199","63189"
"1070","63189","63179"
"1071","63179","63369"
"1072","63369","66379"
"1073","66379","66359"
"1074","65009","65259"
"1075","65259","65409"
"1076","65409","65141"
"1077","65141","65431"
"1078","65431","68111"
"1079","68111","68061"
"1080","68061","68091"
"1081","68091","68081"
"1082","68081","68101"
"1083","68101","68121"
"1084","68121","68161"
"1085","68161","68131"
"1086","68131","68141"
"1087","68141","68151"
"1088","68151","68171"
"1089","68171","59779"
"1090","59779","59789"
"1091","59789","59479"
"1092","59479","59759"
"1093","59759","59749"
"1094","59749","59739"
"1095","59739","59509"
"1096","59509","59729"
"1097","59729","59031"
"1098","59031","59041"
"1099","59041","59051"
"1100","59051","59061"
"1101","59061","59079"
"1102","59079","59091"
"1103","59091","59251"
"1104","59251","59521"
"1105","59521","58549"
"1106","58549","58261"
"1107","58261","58339"
"1108","58339","58211"
"1109","58211","58251"
"1110","58251","58009"
"1111","58009","58259"
"1112","58259","58219"
"1113","58219","58331"
"1114","58331","58269"
"1115","58269","58541"
"1116","58541","59529"
"1117","59529","59259"
"1118","59259","59099"
"1119","59099","59073"
"1120","59073","59069"
"1121","59069","59059"
"1122","59059","59049"
"1123","59049","59039"
"1124","59039","59721"
"1125","59721","59501"
"1126","59501","59731"
"1127","59731","59741"
"1128","59741","59751"
"1129","59751","59471"
"1130","59471","59781"
"1131","59781","59771"
"1132","59771","68179"
"1133","68179","68159"
"1134","68159","68149"
"1135","68149","68139"
"1136","68139","68169"
"1137","68169","68129"
"1138","68129","68109"
"1139","68109","68089"
"1140","68089","68099"
"1141","68099","68069"
"1142","68069","68119"
"1143","68119","65439"
"1144","65439","65149"
"1145","65149","65401"
"1146","65401","65009"
"1147","59479","59759"
"1148","59759","59749"
"1149","59749","59739"
"1150","59739","59509"
"1151","59509","59729"
"1152","59729","59031"
"1153","59031","59041"
"1154","58009","58259"
"1155","58259","58219"
"1156","58219","58331"
"1157","58331","58269"
"1158","58269","58541"
"1159","58541","59529"
"1160","59529","59259"
"1161","59259","59099"
"1162","59099","59073"
"1163","65009","65259"
"1164","65259","65409"
"1165","65409","65141"
"1166","65141","65431"
"1167","65431","65199"
"1168","65199","75359"
"1169","75359","75369"
"1170","75369","75319"
"1171","75319","75299"
"1172","75299","75379"
"1173","75379","75171"
"1174","75171","75159"
"1175","75159","75039"
"1176","75039","75241"
"1177","75241","75231"
"1178","75231","75221"
"1179","75221","75051"
"1180","75051","96289"
"1181","96289","96109"
"1182","96109","96119"
"1183","96119","96229"
"1184","96229","96311"
"1185","96311","96301"
"1186","96301","96401"
"1187","96401","97009"
"1188","97009","96361"
"1189","96361","96309"
"1190","96309","96319"
"1191","96319","96221"
"1192","96221","96111"
"1193","96111","96101"
"1194","96101","96281"
"1195","96281","75059"
"1196","75059","75229"
"1197","75229","75239"
"1198","75239","75249"
"1199","75249","75031"
"1200","75031","75151"
"1201","75151","75179"
"1202","75179","75371"
"1203","75371","75291"
"1204","75291","75311"
"1205","75311","75361"
"1206","75361","75351"
"1207","75351","65191"
"1208","65191","65439"
"1209","65439","65149"
"1210","65149","65401"
"1211","65401","65009"
"1212","65199","75359"
"1213","75359","75369"
"1214","75369","75319"
"1215","75319","75299"
"1216","75299","75379"
"1217","75379","75171"
"1218","75171","75159"
"1219","75159","75039"
"1220","75039","75241"
"1221","75241","75231"
"1222","75231","75221"
"1223","75221","75051"
"1224","75051","96289"
"1225","96289","96109"
"1226","96109","96119"
"1227","96111","96101"
"1228","96101","96281"
"1229","96281","75059"
"1230","75059","75229"
"1231","75229","75239"
"1232","75239","75249"
"1233","75249","75031"
"1234","75031","75151"
"1235","75151","75179"
"1236","75179","75371"
"1237","75371","75291"
"1238","75291","75311"
"1239","75311","75361"
"1240","75361","75351"
"1241","75351","65191"
"1242","65009","65341"
"1243","65341","65331"
"1244","65331","65431"
"1245","65431","67591"
"1246","67591","67411"
"1247","67411","67401"
"1248","67401","67101"
"1249","67101","67111"
"1250","67111","67121"
"1251","67121","67131"
"1252","67131","67141"
"1253","67141","67151"
"1254","67151","67161"
"1255","67161","65019"
"1256","65019","64029"
"1257","64029","64079"
"1258","64079","64059"
"1259","64059","64049"
"1260","64049","64019"
"1261","64019","63069"
"1262","63069","63059"
"1263","63059","63049"
"1264","63049","63039"
"1265","63039","63221"
"1266","63221","63231"
"1267","63231","63041"
"1268","63041","63051"
"1269","63051","63061"
"1270","63061","64011"
"1271","64011","64041"
"1272","64041","64051"
"1273","64051","64071"
"1274","64071","64021"
"1275","64021","65011"
"1276","65011","67169"
"1277","67169","67159"
"1278","67159","67139"
"1279","67139","67129"
"1280","67129","67119"
"1281","67119","67109"
"1282","67109","67409"
"1283","67409","67419"
"1284","67419","67599"
"1285","67599","65439"
"1286","65439","65339"
"1287","65339","65349"
"1288","65349","65009"
"1289","77009","78109"
"1290","78109","78081"
"1291","78081","78071"
"1292","78071","78069"
"1293","78069","78059"
"1294","78059","98099"
"1295","98099","98019"
"1296","98019","76249"
"1297","76249","76239"
"1298","76239","76039"
"1299","76039","76109"
"1300","76109","96129"
"1301","96129","96189"
"1302","96189","96199"
"1303","96199","96209"
"1304","96209","95909"
"1305","95909","96039"
"1306","96039","96029"
"1307","96029","96019"
"1308","96019","85109"
"1309","85109","85099"
"1310","85099","84101"
"1311","84101","84071"
"1312","84071","84081"
"1313","84081","84141"
"1314","84141","84111"
"1315","84111","84151"
"1316","84151","93099"
"1317","93099","93089"
"1318","93089","93079"
"1319","93079","93069"
"1320","93069","93059"
"1321","93059","92159"
"1322","92159","92149"
"1323","92149","92139"
"1324","92139","92129"
"1325","92129","92119"
"1326","92119","92109"
"1327","92109","92099"
"1328","92099","91079"
"1329","91079","91069"
"1330","91069","91059"
"1331","91059","91049"
"1332","91049","91091"
"1333","91091","80271"
"1334","80271","80141"
"1335","80141","80111"
"1336","80111","80049"
"1337","80049","80039"
"1338","80039","80029"
"1339","10011","10041"
"1340","10041","10499"
"1341","10499","10049"
"1342","10049","10017"
"1343","80011","80031"
"1344","80031","80051"
"1345","80051","80119"
"1346","80119","80149"
"1347","80149","80279"
"1348","80279","91099"
"1349","91099","91041"
"1350","91041","91051"
"1351","91051","91061"
"1352","91061","91071"
"1353","91071","92091"
"1354","92091","92101"
"1355","92101","92111"
"1356","92111","92121"
"1357","92121","92131"
"1358","92131","92141"
"1359","92141","92151"
"1360","92151","93051"
"1361","93051","93061"
"1362","93061","93071"
